Penulis,Komentar,Komentar_Bersih
@RizzKasep-z9z,Mada konoi Sekai iway,mada konoi sekai iway
@nikitaCalista,"Meneliti saja blom cuma prediksi, brin gk gunna. Di video udah jelas2 meledaknya di atas daratan lalu pecah berkeping², kemungkinan jatuhnya tetep didaratan",meneliti saja blom cuma prediksi brin gk gunna di video udah jelas2 meledaknya di atas daratan lalu pecah berkeping kemungkinan jatuhnya tetep didaratan
@Iqbal2801-p5x,Itukan Baxia nya kairi,itukan baxia nya kairi
@edelweisslandscape,"pada lupa kasus korupsi besar2an, uu koruptor, dan pada gak nyadar pagar bambu di laut udah jadi pagar beton kan?",pada lupa kasus korupsi besar2an uu koruptor dan pada gak nyadar pagar bambu di laut udah jadi pagar beton kan
@indraone4023,Itu yg ngerekam siapa yaaa,itu yg ngerekam siapa yaaa
@BilalBilal-r7y1j,Bohong semua,bohong semua
@Tandur-o4r,Mungkin rudal balistik antar benua tanpa hulu ledak atau ringan. Semoga pendapat saya salah 🙏,mungkin rudal balistik antar benua tanpa hulu ledak atau ringan semoga pendapat saya salah
@ahmadakhlisarifin9027,It's OPTIMUM PRIDE,its optimum pride
@jekpot-vo5hl,Itu bukan meteor tapi rudal Israel,itu bukan meteor tapi rudal israel
@RIF_BHQ,"Klau bumi datar harusnya jatuh dri atas langsung ke bawah,sperti hujan",klau bumi datar harusnya jatuh dri atas langsung ke bawahsperti hujan
@adapikadapik5876,Kalau orang tua zaman dulu itu di panggil Braja geni. Bila jatuh nya menimpa rumah warga maka rumah itu akan kebakaran. Itu dulu waktu zaman kolosebo.,kalau orang tua zaman dulu itu di panggil braja geni bila jatuh nya menimpa rumah warga maka rumah itu akan kebakaran itu dulu waktu zaman kolosebo
@masnurfals7304,Tanda tanda akan ada bencana besar di negeri ini🙏 maaf jika salah🙏🙏🙏,tanda tanda akan ada bencana besar di negeri ini maaf jika salah
@aulianurul514,Berita gk jelassssss,berita gk jelassssss
@onespangeranconslet4562,Kenapa jatuhnya gk k gedung dpr ya😊,kenapa jatuhnya gk k gedung dpr ya
@lukmanwasono2333,"Sistem radar dan sistem pertahanan udara yang paling canggih saat ini adalah buatan Russia dengan radar dan Rudal S 500 tapi sayangnya Indonesia tak akan mampu bisa beli karena duitnya banyak di korupsi. Edan tenan....

Kesimpulannya jakarta atau IKN masih sangat mudah untuk di tembus oleh negara maju, tinggal klik tombol saklar.... Rudal balistik sudah meluncur ke ibu kota. Jadi negara maju tidak susah payah  mengirim pasukan tentara. 

Sekarang dengan geopolitik dan geo strategi internasional mari kita jaga persatuan dan kesatuan negara Republik Indonesia dan jaga RI Satu Bapak Presiden Prabowo Subianto dari serangan musuh

Reporter by
Lukman wasono",sistem radar dan sistem pertahanan udara yang paling canggih saat ini adalah buatan russia dengan radar dan rudal s 500 tapi sayangnya indonesia tak akan mampu bisa beli karena duitnya banyak di korupsi edan tenan kesimpulannya jakarta atau ikn masih sangat mudah untuk di tembus oleh negara maju tinggal klik tombol saklar rudal balistik sudah meluncur ke ibu kota jadi negara maju tidak susah payah mengirim pasukan tentara sekarang dengan geopolitik dan geo strategi internasional mari kita jaga persatuan dan kesatuan negara republik indonesia dan jaga ri satu bapak presiden prabowo subianto dari serangan musuh reporter by lukman wasono
@safarjahidin3969,yakin itu batu meteor! bukan rudal??,yakin itu batu meteor bukan rudal
@pidpg-z5b,bola api dari neraka sebagai petanda,bola api dari neraka sebagai petanda
@16mikhaelchristian54,Mada Kono Sekai wa...,mada kono sekai wa
@andikadarmawa,kok hanya saya yg mengira itu rudal dari negara tetangga.. cahayanya mirip rudal. cek lagi di lokasi jatuh. benar meteor atau rudal,kok hanya saya yg mengira itu rudal dari negara tetangga cahayanya mirip rudal cek lagi di lokasi jatuh benar meteor atau rudal
@MaskadiPitak,"maaf saya mau komen dan prediksi adany kodenya alam meteor jatuh,meteor jatuh bisa di artikan bintang jatuh.  jadi saya prediksi kalau cirebon akan ada bintang besar jebolan da7 yaitu april yg juara ,maaf saya hanya prrdiksi bukan meyakini,solakan screnshot komen saya ,nanti benar gak kalau juara da7 infosiar dede April ,cirebon akan ada bintang besar,  sekali lg maaf hanya prediksi🙏🙏",maaf saya mau komen dan prediksi adany kodenya alam meteor jatuhmeteor jatuh bisa di artikan bintang jatuh jadi saya prediksi kalau cirebon akan ada bintang besar jebolan da7 yaitu april yg juara maaf saya hanya prrdiksi bukan meyakinisolakan screnshot komen saya nanti benar gak kalau juara da7 infosiar dede april cirebon akan ada bintang besar sekali lg maaf hanya prediksi
@haksbjnsjnsmallallammn,Ini meteor benaran atau kiriman dari israel😂,ini meteor benaran atau kiriman dari israel
@SQUAD777_b0nus_5ORb,kaya film anime wkwkkww,kaya film anime wkwkkww
@SURYADISINAGA-l5s,itu bom canggih bukan meteor tau.,itu bom canggih bukan meteor tau
@Willywellwell,Dri kampung saya juga keliatan,dri kampung saya juga keliatan
@Fitriani-t5m,Semoga tidak terjadi apa apa. Itu kode rahasia allah.semoga allah mengingatkan kita untuk kembali.sholawat dan salam nabi kita muhammad saw❤❤,semoga tidak terjadi apa apa itu kode rahasia allahsemoga allah mengingatkan kita untuk kembalisholawat dan salam nabi kita muhammad saw
@daffaganteng-nh2li,pantes aku pulang² di kasih kabar katanya ada meteor jatuh di kuningan koo aku baru tau padahal aku tinggal di cirebon,pantes aku pulang di kasih kabar katanya ada meteor jatuh di kuningan koo aku baru tau padahal aku tinggal di cirebon
@edwinpramanaputra4822,"Itu meteor ya, seperti tidak ada pencegahan atau penangkal, gmn kalau rudal balistik yg jatuh, bisa ditebak kan?",itu meteor ya seperti tidak ada pencegahan atau penangkal gmn kalau rudal balistik yg jatuh bisa ditebak kan
@Suherman01januari,Saya di wilayah Cirebon emang benar dentuman sangat keras walaupun hanya lewat,saya di wilayah cirebon emang benar dentuman sangat keras walaupun hanya lewat
@RokhimWidodo-p8u,Waduh 😮,waduh
@riocahyosantoso6293,"Gw yakin banget, itu optimus prime gaess",gw yakin banget itu optimus prime gaess
